100   1   1.01754   1.04184
100   10   1.85375   2.52625
100   20   8.87092   9.81144
100   30   11.5098   12.7325
100   40   11.6333   17.8326
100   50   11.6679   17.4904
100   60   11.7634   29.0275
100   70   11.5774   28.306
100   80   9.69222   13.7502
100   85   9.89075   13.2236
100   90   11.6734   18.167
100   93   12.0466   14.2745
125   105   9.46695   13.2603
125   110   10.2712   14.3851
125   115   10.6942   17.5336
125   118   12.0466   13.9064
125   15   1.02627   1.04039
125   25   1.0228   1.04581
125   35   1.58346   2.27265
125   45   8.56141   9.87255
125   5   1.02045   1.02671
125   55   11.5752   12.5111
125   65   11.6918   17.9696
125   75   11.677   17.5722
125   85   11.624   28.7374
125   95   11.6912   28.5293
150   1   1.01796   1.02712
150   10   1.01712   1.02543
150   100   11.6378   17.6705
150   110   11.5939   28.3891
150   120   11.4106   27.8158
150   130   10.3122   14.5506
150   135   10.1245   13.3576
150   140   11.203   16.7048
150   143   11.1724   16.7605
150   20   1.0207   1.02916
150   30   1.02139   1.02826
150   40   1.02641   1.03831
150   50   1.02464   1.04885
150   60   1.54075   2.27325
150   70   8.70372   9.84291
150   80   11.4783   12.3075
150   90   11.6808   18.1721
175   1   1.01911   1.02544
175   105   11.5554   12.2855
175   115   11.6614   18.037
175   125   11.5726   17.2986
175   135   11.6904   29.1459
175   145   11.5276   27.5856
175   155   10.2412   13.28
175   160   9.94362   13.5624
175   165   11.4051   20.4155
175   168   11.3066   18.2629
175   25   1.0211   1.02815
175   35   1.01732   1.02603
175   45   1.02218   1.03133
175   55   1.02597   1.0361
175   65   1.02838   1.03947
175   75   1.02544   1.05136
175   85   1.52479   2.25897
175   95   8.60134   9.944
200   1   1.0211   1.02764
200   100   1.02815   1.05373
200   110   1.48545   2.19304
200   120   8.54183   9.92227
200   130   11.5435   12.2307
200   140   11.6706   18.0315
200   150   11.6397   17.5435
200   160   11.629   28.5136
200   170   11.5935   27.9922
200   180   10.3555   13.0158
200   185   10.3456   13.4142
200   190   12.0466   14.5681
200   193   12.0466   21.5423
200   25   1.02094   1.02688
200   50   1.02264   1.0317
200   60   1.02123   1.02915
200   70   1.02298   1.0313
200   80   1.02605   1.03724
200   90   1.03289   1.04251
225   1   1.02161   1.02773
225   105   1.02504   1.03355
225   115   1.03084   1.03873
225   125   1.03058   1.05469
225   135   1.45455   2.11211
225   145   8.52518   10.0146
225   155   11.5511   11.9807
225   165   11.5649   17.9909
225   175   11.7068   17.5041
225   185   11.6845   28.6139
225   195   11.5965   27.7866
225   205   10.2845   13.9238
225   210   10.6386   14.1809
225   215   11.0348   16.4197
225   218   11.1724   15.8519
225   25   1.0213   1.02796
225   50   1.02159   1.02756
225   75   1.02334   1.02954
225   85   1.02321   1.02822
225   95   1.02463   1.03244
